Computer Time,Time,Touched ID,S
1714488011971226,66.48089171974476,"(11, 20)",2
1714488012056530,66.56050955413967,"(11, 20)",2
1714488012136141,66.64012738853458,"(11, 20)",2
1714488012215691,66.71974522292949,"(11, 20)",2
1714488012294965,66.7993630573244,"(11, 20)",2
1714488012366673,66.87898089171931,"(11, 20)",2
1714488012453632,66.95859872611422,"(11, 20)",2
1714488012532043,67.03821656050913,"(11, 20)",2
1714488012605004,67.11783439490404,"(11, 20)",2
1714488012691235,67.19745222929895,"(11, 20)",2
1714488012763669,67.27707006369386,"(11, 20)",2
1714488012844917,67.35668789808877,"(11, 20)",2
1714488012924403,67.43630573248367,"(11, 20)",2
1714488013009693,67.51592356687858,"(11, 20)",2
1714488013081744,67.5955414012735,"(11, 20)",2
1714488013161341,67.6751592356684,"(11, 20)",2
1714488013242333,67.75477707006331,"(11, 20)",2
1714488013321725,67.83439490445822,"(11, 20)",2
1714488013401063,67.91401273885313,"(11, 20)",2
1714488013480904,67.99363057324804,"(11, 20)",2
1714488013560367,68.07324840764295,"(11, 20)",2
1714488013639634,68.15286624203786,"(11, 20)",2
1714488013719054,68.23248407643277,"(11, 20)",2
1714488013798470,68.31210191082768,"(11, 20)",2
1714488013883721,68.39171974522259,"(11, 20)",2
1714488013954837,68.4713375796175,"(11, 20)",2
1714488014039533,68.5509554140124,"(11, 20)",2
1714488014119082,68.63057324840732,"(11, 20)",2
1714488014195323,68.71019108280223,"(11, 20)",2
1714488014274664,68.78980891719713,"(11, 20)",2
1714488014354144,68.86942675159204,"(11, 20)",2
1714488014433698,68.94904458598695,"(11, 20)",2
1714488014512985,69.02866242038186,"(11, 20)",2
1714488014598877,69.10828025477677,"(11, 20)",2
1714488014670909,69.18789808917168,"(11, 20)",2
1714488014752161,69.26751592356659,"(11, 20)",2
1714488014831542,69.3471337579615,"(11, 20)",2
1714488014911171,69.42675159235641,"(11, 20)",2
1714488014990201,69.50636942675132,"(11, 20)",2
1714488015069871,69.58598726114623,"(11, 20)",2
1714488015149213,69.66560509554114,"(11, 20)",2
1714488015228824,69.74522292993605,"(11, 20)",2
1714488015308020,69.82484076433096,"(11, 20)",2
1714488015387597,69.90445859872587,"(11, 20)",2
1714488015467050,69.98407643312078,"(11, 20)",2
1714488015552195,70.06369426751569,"(11, 20)",2
1714488015625401,70.1433121019106,"(11, 20)",2
1714488015704855,70.2229299363055,"(11, 20)",2
1714488015791071,70.30254777070041,"(11, 20)",2
1714488015864622,70.38216560509532,"(11, 20)",2
1714488015949567,70.46178343949023,"(11, 20)",2
1714488016021316,70.54140127388514,"(11, 20)",2
1714488016101127,70.62101910828005,"(11, 20)",2
1714488016180728,70.70063694267496,"(11, 20)",2
1714488016261755,70.78025477706987,"(11, 20)",2
